"","Bac_OTU","Domain","Phylum","Class","Order","Family","Bac_Family_Mean"
"1","OTU1","Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae",25.7486062343978
"21","OTU19","Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae",16.5933031137933
"23","OTU2","Bacteria","Bacillota","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae",16.4059493442405
"12","OTU15","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae",8.26595806272541
"7","OTU12","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","uncl_Bacteroidales",6.28101277462376
"85","OTU61","Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae",5.22866440303921
"2","OTU10","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae",3.48475457124467
"31","OTU23","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae",1.90772198931304
"13","OTU16","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Porphyromonadaceae",1.66562226483079
"77","OTU5","Bacteria","Verrucomicrobiota","Verrucomicrobiia","Verrucomicrobiales","Akkermansiaceae",1.64761484730732
"9","OTU13","Bacteria","Bacillota","Clostridia","Eubacteriales","Clostridiaceae 1",1.17831515279485
"98","OTU9","Bacteria","Mycoplasmatota","Mollicutes","uncl_Mollicutes","uncl_Mollicutes",1.13029537273226
"65","OTU41","Bacteria","Pseudomonadota","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae",1.04098198747399
"36","OTU25","Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Sutterellaceae",0.92195423476564
"54","OTU34","Bacteria","Bacillota","Bacilli","Lactobacillales","Streptococcaceae",0.900754012716728
"41","OTU27","Bacteria","Bacillota","Bacilli","Caryophanales","Bacillales_Incertae Sedis XI",0.86218493404943
"87","OTU63","Bacteria","Bacteroidota","uncl_Bacteroidota","uncl_Bacteroidota","uncl_Bacteroidota",0.849796852490728
"8","OTU127","Bacteria","Bacillota","uncl_Bacillota","uncl_Bacillota","uncl_Bacillota",0.8270215135426
"39","OTU26","Bacteria","Bacillota","Clostridia","Eubacteriales","Peptostreptococcaceae",0.685942124245221
"84","OTU60","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Odoribacteraceae",0.603269772399865
"74","OTU47","Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Helicobacteraceae",0.475429879201305
"97","OTU87","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae",0.423493592254171
"34","OTU24","Bacteria","Actinomycetota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae",0.397653160961622
"11","OTU142","Bacteria","Bacillota","Clostridia","uncl_Clostridia","uncl_Clostridia",0.352485619608417
"80","OTU55","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae",0.291609479990055
"94","OTU77","Bacteria","Actinomycetota","Coriobacteriia","Eggerthellales","Eggerthellaceae",0.265981902332535
"25","OTU213","Bacteria","Bacillota","Clostridia","Eubacteriales","uncl_Eubacteriales",0.186459784285612
"17","OTU167","Bacteria","Bacillota","Erysipelotrichia","Erysipelotrichales","uncl_Erysipelotrichales",0.186417213558606
"81","OTU57","Bacteria","Actinomycetota","Coriobacteriia","Coriobacteriales","Atopobiaceae",0.139078565128104
"18","OTU173","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Moraxellaceae",0.10374486171325
"6","OTU118","Bacteria","Pseudomonadota","Deltaproteobacteria","Desulfovibrionales","uncl_Desulfovibrionales",0.102042032633016
"20","OTU188","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","uncl_Rhodospirillales",0.0628769637876368
"40","OTU268","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae",0.0597693007162099
"32","OTU233","Bacteria","Bacillota","Bacilli","Caryophanales","Bacillaceae",0.0565764961907713
"92","OTU74","Bacteria","Bacillota","Erysipelotrichia","Erysipelotrichales","Coprobacillaceae",0.0492543311457656
"28","OTU224","Bacteria","Candidatus Saccharibacteria","uncl_Candidatus Saccharibacteria","uncl_Candidatus Saccharibacteria","uncl_Candidatus Saccharibacteria",0.0475089313385258
"35","OTU241","Bacteria","Pseudomonadota","Alphaproteobacteria","uncl_Alphaproteobacteria","uncl_Alphaproteobacteria",0.0457209608042802
"42","OTU275","Bacteria","Deinococcota","Deinococci","Deinococcales","Deinococcaceae",0.0431241464569235
"26","OTU217","Bacteria","Bacteroidota","Flavobacteriia","Flavobacteriales","Weeksellaceae",0.0385690786672978
