"","Bac_OTU","Domain","Phylum","Class","Order","Bac_Order_Mean"
"1","OTU1","Bacteria","Bacillota","Bacilli","Lactobacillales",26.6773717854844
"8","OTU19","Bacteria","Bacillota","Clostridia","Eubacteriales",23.9061877403118
"14","OTU23","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales",22.4999489151276
"10","OTU2","Bacteria","Bacillota","Erysipelotrichia","Erysipelotrichales",16.6560523653999
"36","OTU5","Bacteria","Verrucomicrobiota","Verrucomicrobiia","Verrucomicrobiales",1.64761484730732
"30","OTU41","Bacteria","Pseudomonadota","Deltaproteobacteria","Desulfovibrionales",1.14302402010701
"45","OTU9","Bacteria","Mycoplasmatota","Mollicutes","uncl_Mollicutes",1.13029537273226
"18","OTU25","Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales",0.981553252573826
"19","OTU27","Bacteria","Bacillota","Bacilli","Caryophanales",0.962609279056224
"39","OTU63","Bacteria","Bacteroidota","uncl_Bacteroidota","uncl_Bacteroidota",0.849796852490728
"2","OTU127","Bacteria","Bacillota","uncl_Bacillota","uncl_Bacillota",0.8270215135426
"35","OTU47","Bacteria","Campylobacterota","Campylobacteria","Campylobacterales",0.475515020655317
"44","OTU87","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales",0.423493592254171
"16","OTU24","Bacteria","Actinomycetota","Actinobacteria","Bifidobacteriales",0.397653160961622
"3","OTU142","Bacteria","Bacillota","Clostridia","uncl_Clostridia",0.352485619608417
"43","OTU77","Bacteria","Actinomycetota","Coriobacteriia","Eggerthellales",0.2664501803296
"5","OTU173","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales",0.16351416242946
"37","OTU57","Bacteria","Actinomycetota","Coriobacteriia","Coriobacteriales",0.139078565128104
"33","OTU416","Bacteria","Actinomycetota","Actinobacteria","Micrococcales",0.0644520806868531
"7","OTU188","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales",0.0628769637876368
"13","OTU224","Bacteria","Candidatus Saccharibacteria","uncl_Candidatus Saccharibacteria","uncl_Candidatus Saccharibacteria",0.0475089313385258
"17","OTU241","Bacteria","Pseudomonadota","Alphaproteobacteria","uncl_Alphaproteobacteria",0.0457209608042802
"20","OTU275","Bacteria","Deinococcota","Deinococci","Deinococcales",0.0431241464569235
"12","OTU217","Bacteria","Bacteroidota","Flavobacteriia","Flavobacteriales",0.0413787466496838
"6","OTU180","Bacteria","Bacillota","Erysipelotrichia","uncl_Erysipelotrichia",0.0286926700019412
"9","OTU195","Bacteria","Mycoplasmatota","Mollicutes","Anaeroplasmatales",0.0251592996604559
"24","OTU324","Bacteria","Actinomycetota","Actinobacteria","Mycobacteriales",0.024563309482374
"21","OTU276","Bacteria","Actinomycetota","Actinobacteria","Propionibacteriales",0.0214556464109471
"23","OTU323","Bacteria","Bacillota","Negativicutes","Veillonellales",0.0193696807876606
"27","OTU377","Bacteria","Pseudomonadota","Gammaproteobacteria","Xanthomonadales",0.0140909106389355
"29","OTU400","Bacteria","Pseudomonadota","Gammaproteobacteria","Pasteurellales",0.012856359555766
"40","OTU672","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales",0.0115366670185847
"25","OTU367","Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales",0.0110258182945145
"34","OTU432","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodobacterales",0.00864185758218704
"28","OTU394","Bacteria","Pseudomonadota","uncl_Pseudomonadota","uncl_Pseudomonadota",0.00800329667709933
"31","OTU410","Bacteria","Pseudomonadota","Betaproteobacteria","uncl_Betaproteobacteria",0.00234138998532161
"38","OTU629","Bacteria","Pseudomonadota","Alphaproteobacteria","Caulobacterales",0.00225624853130992
"46","OTU919","Bacteria","Bacteroidota","Bacteroidia","uncl_Bacteroidia",0.00191568271526314
"42","OTU743","Bacteria","Actinomycetota","Thermoleophilia","Solirubrobacterales",0.00110683890215204
"4","OTU1669","Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales",0.00085141454011695
"22","OTU2997","Bacteria","Actinomycetota","Actinobacteria","Pseudonocardiales",0.00051084872407017
"41","OTU726","Bacteria","Pseudomonadota","Betaproteobacteria","Neisseriales",0.00034056581604678
"26","OTU3673","Bacteria","Pseudomonadota","Gammaproteobacteria","Aeromonadales",0.00017028290802339
"11","OTU2052","Bacteria","Actinomycetota","Coriobacteriia","uncl_Coriobacteriia",0.000127712181017543
"15","OTU2342","Bacteria","Actinomycetota","Actinobacteria","uncl_Actinobacteria",0.000127712181017543
"32","OTU4150","Bacteria","Gemmatimonadota","Longimicrobia","Longimicrobiales",0.000127712181017543
