"","Bac_OTU","Domain","Phylum","Class","Bac_Class_Mean"
"12","OTU35","Bacteria","Bacillota","Clostridia",30.4315070790373
"19","OTU7","Bacteria","Bacteroidota","Bacteroidia",27.9038670977434
"1","OTU1066","Bacteria","Bacillota","Erysipelotrichia",15.6713362430382
"17","OTU642","Bacteria","Bacillota","Bacilli",12.7703642953015
"7","OTU22","Bacteria","Actinomycetota","Coriobacteriia",3.92863945668634
"6","OTU2130","Bacteria","Verrucomicrobiota","Verrucomicrobiia",3.86754071719985
"9","OTU24","Bacteria","Actinomycetota","Actinobacteria",2.49982755663894
"13","OTU41","Bacteria","Pseudomonadota","Deltaproteobacteria",0.883669392221001
"18","OTU65","Bacteria","Bacteroidota","uncl_Bacteroidota",0.838612631460377
"2","OTU127","Bacteria","Bacillota","uncl_Bacillota",0.492270424096761
"11","OTU3135","Bacteria","Pseudomonadota","Betaproteobacteria",0.415414474737522
"16","OTU47","Bacteria","Campylobacterota","Campylobacteria",0.0981503313760221
"4","OTU188","Bacteria","Pseudomonadota","Alphaproteobacteria",0.0694203181943883
"8","OTU224","Bacteria","Candidatus Saccharibacteria","uncl_Candidatus Saccharibacteria",0.0647058116260365
"10","OTU277","Bacteria","Pseudomonadota","uncl_Pseudomonadota",0.0321472394190969
"5","OTU195","Bacteria","Mycoplasmatota","Mollicutes",0.022971354151835
"20","OTU894","Bacteria","Cyanobacteriota","Cyanophyceae",0.0073090672301293
"3","OTU130","Bacteria","Pseudomonadota","Gammaproteobacteria",0.00145548524928982
"14","OTU4446","Bacteria","Acidobacteriota","Acidobacteria_Gp3",0.000506255738883415
"15","OTU4509","Bacteria","Acidobacteriota","Acidobacteria_Gp2",0.000284768853121921
