"","Domain","Phylum","Class","Order","Family","Genus","Species"
"OTU58","Bacteria","Bacillota","Erysipelotrichia","Erysipelotrichales","Turicibacteraceae","Turicibacter","uncl_Turicibacter"
"OTU191","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","uncl_Muribaculaceae","uncl_Muribaculaceae"
"OTU89","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Duncaniella","muris"
"OTU4304","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","uncl_Alistipes"
"OTU32","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","uncl_Bacteroidales","uncl_Bacteroidales","uncl_Bacteroidales"
"OTU29","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","uncl_Prevotellaceae","uncl_Prevotellaceae"
"OTU73","Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Oscillibacter","uncl_Oscillibacter"
"OTU251","Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","uncl_Lachnospiraceae","uncl_Lachnospiraceae"
"OTU65","Bacteria","Bacteroidota","uncl_Bacteroidota","uncl_Bacteroidota","uncl_Bacteroidota","uncl_Bacteroidota","uncl_Bacteroidota"
"OTU306","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","uncl_Muribaculaceae","uncl_Muribaculaceae"
"OTU78","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","uncl_Bacteroidales","uncl_Bacteroidales","uncl_Bacteroidales"
"OTU46","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","uncl_Prevotellaceae","uncl_Prevotellaceae"
"OTU3195","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","uncl_Bacteroidales","uncl_Bacteroidales","uncl_Bacteroidales"
"OTU211","Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","uncl_Oscillospiraceae","uncl_Oscillospiraceae"
"OTU12","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","uncl_Bacteroidales","uncl_Bacteroidales","uncl_Bacteroidales"
"OTU67","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","uncl_Bacteroidales","uncl_Bacteroidales","uncl_Bacteroidales"
"OTU4930","Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Lawsonibacter","uncl_Lawsonibacter"
"OTU54","Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","uncl_Lachnospiraceae","uncl_Lachnospiraceae"
"OTU2130","Bacteria","Verrucomicrobiota","Verrucomicrobiia","Verrucomicrobiales","Akkermansiaceae","Akkermansia","muciniphila"
"OTU4558","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","uncl_Prevotellaceae","uncl_Prevotellaceae"
"OTU7","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","uncl_Muribaculaceae","uncl_Muribaculaceae"
"OTU5","Bacteria","Verrucomicrobiota","Verrucomicrobiia","Verrucomicrobiales","Akkermansiaceae","Akkermansia","muciniphila"
"OTU66","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Duncaniella","uncl_Duncaniella"
"OTU201","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Duncaniella","dubosii"
"OTU121","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Duncaniella","uncl_Duncaniella"
"OTU3412","Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Acutalibacter","muris"
"OTU40","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","uncl_Muribaculaceae","uncl_Muribaculaceae"
"OTU642","Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","uncl_Lactobacillus"
"OTU1","Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","uncl_Lactobacillus"
"OTU4","Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus","uncl_Limosilactobacillus"
"OTU95","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculum","gordoncarteri"
"OTU270","Bacteria","Bacillota","Clostridia","uncl_Clostridia","uncl_Clostridia","uncl_Clostridia","uncl_Clostridia"
"OTU129","Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","uncl_Oscillospiraceae","uncl_Oscillospiraceae"
"OTU55","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","acidifaciens"
"OTU120","Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","uncl_Lachnospiraceae","uncl_Lachnospiraceae"
"OTU3","Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Ligilactobacillus","uncl_Ligilactobacillus"
"OTU62","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","uncl_Muribaculaceae","uncl_Muribaculaceae"
"OTU180","Bacteria","Bacillota","Erysipelotrichia","uncl_Erysipelotrichia","uncl_Erysipelotrichia","uncl_Erysipelotrichia","uncl_Erysipelotrichia"
"OTU155","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","uncl_Muribaculaceae","uncl_Muribaculaceae"
"OTU11","Bacteria","Bacillota","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Ileibacterium","valens"
"OTU244","Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","uncl_Lachnospiraceae","uncl_Lachnospiraceae"
"OTU1244","Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Ligilactobacillus","uncl_Ligilactobacillus"
"OTU457","Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","uncl_Lachnospiraceae","uncl_Lachnospiraceae"
"OTU56","Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","uncl_Lachnospiraceae","uncl_Lachnospiraceae"
