"","Bac_OTU","Domain","Phylum","Bac_Phylum_Mean"
"1","OTU1","Bacteria","Bacillota",69.4297906541929
"3","OTU23","Bacteria","Bacteroidota",23.3930401969833
"5","OTU25","Bacteria","Pseudomonadota",2.88127194520977
"10","OTU5","Bacteria","Verrucomicrobiota",1.64761484730732
"11","OTU9","Bacteria","Mycoplasmatota",1.15545467239271
"4","OTU24","Bacteria","Actinomycetota",0.915526054987757
"9","OTU47","Bacteria","Campylobacterota",0.475515020655317
"2","OTU224","Bacteria","Candidatus Saccharibacteria",0.0475089313385258
"6","OTU275","Bacteria","Deinococcota",0.0431241464569235
"7","OTU367","Bacteria","Fusobacteriota",0.0110258182945145
"8","OTU4150","Bacteria","Gemmatimonadota",0.000127712181017543
