"","Bac_OTU","Domain","Phylum","Class","Order","Family","Bac_Family_Mean"
"41","OTU35","Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae",19.2940390285205
"2","OTU1066","Bacteria","Bacillota","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae",14.1734837166006
"67","OTU642","Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae",12.5808031620733
"71","OTU7","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae",10.3646053831438
"36","OTU3195","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","uncl_Bacteroidales",8.18862329447188
"66","OTU61","Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae",7.15253928386329
"13","OTU2130","Bacteria","Verrucomicrobiota","Verrucomicrobiia","Verrucomicrobiales","Akkermansiaceae",3.86754071719985
"28","OTU29","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae",2.72612387191983
"19","OTU24","Bacteria","Actinomycetota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae",2.49292982219666
"60","OTU55","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae",2.49280325826194
"15","OTU22","Bacteria","Actinomycetota","Coriobacteriia","Coriobacteriales","uncl_Coriobacteriales",2.05293030313961
"31","OTU31","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae",1.95190064224869
"7","OTU1495","Bacteria","Bacillota","Clostridia","Eubacteriales","Peptostreptococcaceae",1.93484615204505
"12","OTU21","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Porphyromonadaceae",1.90731849624327
"75","OTU77","Bacteria","Actinomycetota","Coriobacteriia","Eggerthellales","Eggerthellaceae",1.3643592162908
"18","OTU2241","Bacteria","Bacillota","Clostridia","Eubacteriales","Clostridiaceae 1",1.01428337285292
"62","OTU58","Bacteria","Bacillota","Erysipelotrichia","Erysipelotrichales","Turicibacteraceae",0.903255161119053
