"","Bac_OTU","Domain","Phylum","Class","Order","Bac_Order_Mean"
"21","OTU35","Bacteria","Bacillota","Clostridia","Eubacteriales",29.9791992173286
"35","OTU7","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales",27.9032026370861
"2","OTU1066","Bacteria","Bacillota","Erysipelotrichia","Erysipelotrichales",15.6094781199434
"33","OTU642","Bacteria","Bacillota","Bacilli","Lactobacillales",12.7325533198036
"8","OTU2130","Bacteria","Verrucomicrobiota","Verrucomicrobiia","Verrucomicrobiales",3.86754071719985
"10","OTU22","Bacteria","Actinomycetota","Coriobacteriia","Coriobacteriales",2.54849138953911
"13","OTU24","Bacteria","Actinomycetota","Actinobacteria","Bifidobacteriales",2.49292982219666
"37","OTU77","Bacteria","Actinomycetota","Coriobacteriia","Eggerthellales",1.38014806714723
"23","OTU41","Bacteria","Pseudomonadota","Deltaproteobacteria","Desulfovibrionales",0.883669392221001
"34","OTU65","Bacteria","Bacteroidota","uncl_Bacteroidota","uncl_Bacteroidota",0.838612631460377
"3","OTU127","Bacteria","Bacillota","uncl_Bacillota","uncl_Bacillota",0.492270424096761
"1","OTU104","Bacteria","Bacillota","Clostridia","uncl_Clostridia",0.452307861708651
"18","OTU3135","Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales",0.415382833753842
"29","OTU47","Bacteria","Campylobacterota","Campylobacteria","Campylobacterales",0.0981503313760221
"12","OTU224","Bacteria","Candidatus Saccharibacteria","uncl_Candidatus Saccharibacteria","uncl_Candidatus Saccharibacteria",0.0647058116260365
"5","OTU180","Bacteria","Bacillota","Erysipelotrichia","uncl_Erysipelotrichia",0.0618581230948173
"6","OTU188","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales",0.0509736247088238
"15","OTU27","Bacteria","Bacillota","Bacilli","Caryophanales",0.0378109754978551
"16","OTU277","Bacteria","Pseudomonadota","uncl_Pseudomonadota","uncl_Pseudomonadota",0.0321472394190969
"7","OTU195","Bacteria","Mycoplasmatota","Mollicutes","Anaeroplasmatales",0.022971354151835
"11","OTU223","Bacteria","Pseudomonadota","Alphaproteobacteria","uncl_Alphaproteobacteria",0.0175923869261987
"39","OTU894","Bacteria","Cyanobacteriota","Cyanophyceae","Nostocales",0.00598014591556034
"24","OTU412","Bacteria","Actinomycetota","Actinobacteria","Micrococcales",0.00316409836802134
"30","OTU472","Bacteria","Actinomycetota","Actinobacteria","Mycobacteriales",0.00183517705345238
"14","OTU2669","Bacteria","Cyanobacteriota","Cyanophyceae","Oculatellales",0.00132892131456896
"31","OTU4727","Bacteria","Actinomycetota","Actinobacteria","Pseudonocardiales",0.000949229510406403
"4","OTU130","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales",0.000822665575685549
"32","OTU4813","Bacteria","Bacteroidota","Bacteroidia","uncl_Bacteroidia",0.000664460657284482
"38","OTU87","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales",0.000569537706243842
"22","OTU3728","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales",0.000506255738883415
"26","OTU4446","Bacteria","Acidobacteriota","Acidobacteria_Gp3","uncl_Acidobacteria_Gp3",0.000506255738883415
"17","OTU3010","Bacteria","Actinomycetota","Actinobacteria","Streptomycetales",0.000379691804162561
"25","OTU432","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodobacterales",0.000348050820482348
"27","OTU4509","Bacteria","Acidobacteriota","Acidobacteria_Gp2","uncl_Acidobacteria_Gp2",0.000284768853121921
"20","OTU3453","Bacteria","Actinomycetota","Actinobacteria","Micromonosporales",0.000221486885761494
"19","OTU3274","Bacteria","Actinomycetota","Actinobacteria","Streptosporangiales",0.000189845902081281
"28","OTU4613","Bacteria","Actinomycetota","Actinobacteria","Propionibacteriales",0.000158204918401067
"9","OTU2194","Bacteria","Pseudomonadota","Gammaproteobacteria","Xanthomonadales",6.32819673604269e-05
"36","OTU726","Bacteria","Pseudomonadota","Betaproteobacteria","Neisseriales",3.16409836802134e-05
